Time;Item;Looter;GP Action;ID
2020-06-28 20:10:38;[Firemaw's Clutch];Newk;Mainspec GP;19400
2020-06-28 20:23:47;[Nemesis Gloves];Arlis;Bank-D/E;16928
2020-06-28 20:24:23;[Band of Forced Concentration];Xzoe;Mainspec GP;19403
2020-06-28 20:25:46;[Nemesis Gloves];Arlis;Bank-D/E;16928
2020-06-28 20:26:31;[Emberweave Leggings];Zann;Offspec GP;19433
2020-06-28 20:28:03;[Interlaced Shadow Jerkin];Nessy;Offspec GP;19439
2020-06-28 20:28:16;[Interlaced Shadow Jerkin];Arlis;Bank-D/E;19439
2020-06-28 20:33:18;[Chromatic Boots];Crayven;Mainspec GP;19387
2020-06-28 20:33:41;[Girdle of the Fallen Crusader];Trezôr;Offspec GP;19392
2020-06-28 20:33:51;[Stormrage Pauldrons];Arlis;Bank-D/E;16902
2020-06-28 20:34:04;[Nemesis Spaulders];Arlis;Bank-D/E;16932
2020-06-28 20:40:39;[Netherwind Robes];Arlis;Bank-D/E;16916
2020-06-28 20:40:49;[Stormrage Chestguard];Arlis;Bank-D/E;16897
2020-06-28 20:41:15;[Cloak of the Brood Lord];Arlis;Offspec GP;19378
2020-06-28 20:41:39;[Pure Elementium Band];Radogan;Mainspec GP;19382
2020-06-28 20:42:00;[Head of Nefarian];Lomeluin;Offspec GP;19002
2020-07-05 19:44:38;[Mantle of the Blackwing Cabal];Wysiwyg;Mainspec GP;19370
2020-07-05 19:45:17;[Bracelets of Wrath];Tasêrfacê;Offspec GP;16959
2020-07-05 19:45:20;[Netherwind Bindings];Arlis;Bank-D/E;16918
2020-07-05 19:47:53;[Bloodfang Belt];Nessy;Mainspec GP;16910
2020-07-05 19:48:09;[Rune of Metamorphosis];Lomeluin;Bank-D/E;19340
2020-07-05 19:48:27;[Netherwind Belt];Sorci;Offspec GP;16818
2020-07-05 19:50:54;[Cloak of Draconic Might];Hunksfox;Mainspec GP;19436
2020-07-05 20:00:04;[Heartstriker];Schellenmann;Offspec GP;19350
2020-07-05 20:00:46;[Judgement Sabatons];Trezôr;Offspec GP;16957
2020-07-05 20:01:11;[Netherwind Boots];Lomeluin;Offspec GP;16912
2020-07-05 20:04:52;[Essence Gatherer];Bombalgir;Offspec GP;19435
2020-07-05 20:07:12;[Rejuvenating Gem];Darlia;Mainspec GP;19395
2020-07-05 20:07:38;[Firemaw's Clutch];Radogan;Mainspec GP;19400
2020-07-05 20:20:33;[Nemesis Gloves];Avón;Bank-D/E;16928
2020-07-05 20:21:08;[Ebony Flame Gloves];Bombalgir;Offspec GP;19407
2020-07-05 20:22:28;[Stormrage Handguards];Arlis;Bank-D/E;16899
2020-07-05 20:22:56;[Dragon's Touch];Lomeluin;Offspec GP;19367
2020-07-05 20:27:47;[Chromatic Boots];Zann;Mainspec GP;19387
2020-07-05 20:28:13;[Judgement Spaulders];Trezôr;Offspec GP;16953
2020-07-05 20:28:28;[Shimmering Geta];Arlis;Bank-D/E;19391
2020-07-05 20:28:42;[Netherwind Mantle];Belesh;Offspec GP;16917
2020-07-05 20:35:31;[Neltharion's Tear];Faine;Mainspec GP;19379
2020-07-05 20:35:54;[Mish'undare, Circlet of the Mind Flayer];Riese;Mainspec GP;19375
2020-07-05 20:36:41;[Breastplate of Wrath];Zann;Offspec GP;16966
2020-07-05 20:36:59;[Netherwind Robes];Belesh;Offspec GP;16916
2020-07-05 20:37:39;[Head of Nefarian];Faine;Offspec GP;19002
2020-07-12 19:47:39;[Netherwind Bindings];Arlis;Bank-D/E;16918
2020-07-12 19:47:46;[The Black Book];Arlis;Bank-D/E;19337
