Time;Item;Looter;GP Action;ID
2020-09-06 20:10:15;[Qiraji Bindings of Command];Naiko;Mainspec GP;20928
2020-09-06 20:10:53;[Qiraji Bindings of Dominance];Mastarc;Mainspec GP;20932
2020-09-06 20:11:56;[Cloak of the Golden Hive];Arlis;Mainspec GP;21621
2020-09-06 20:30:05;[Vek'nilash's Circlet];Maddi;Mainspec GP;20926
2020-09-06 20:30:34;[Belt of the Fallen Emperor];Maro;Offspec GP;21606
2020-09-06 20:31:23;[Vek'lor's Diadem];Reax;Mainspec GP;20930
2020-09-06 20:31:42;[Vek'lor's Gloves of Devastation];Maro;Offspec GP;21599
2020-09-06 20:34:43;[Imperial Qiraji Regalia];Maddi;Mainspec GP;21237
2020-09-06 20:52:51;[Gloves of the Redeemed Prophecy];Trezôr;Offspec GP;21889
2020-09-06 21:22:30;[Gauntlets of Annihilation];Zann;Mainspec GP;21581
2020-09-06 21:23:03;[Death's Sting];Nóva;Mainspec GP;21126
2020-09-06 21:23:48;[Eye of C'Thun];Wysiwyg;Mainspec GP;21221
2020-09-06 21:24:28;[Husk of the Old God];Xzoe;Mainspec GP;20933
2020-09-06 21:25:27;[Carapace of the Old God];Tasêrfacê;Mainspec GP;20929
2020-09-06 21:31:44;[Ouro's Intact Hide];Naiko;Mainspec GP;20927
2020-09-06 21:32:01;[Skin of the Great Sandworm];Arlis;Mainspec GP;20931
2020-09-06 21:32:30;[The Burrower's Shell];Maddi;Offspec GP;23558
2020-09-06 22:47:33;[Slime-coated Leggings];Tasêrfacê;Bank-D/E;21626
2020-09-06 22:48:05;[Qiraji Bindings of Dominance];Wysiwyg;Mainspec GP;20932
2020-09-06 22:48:33;[Qiraji Bindings of Command];Crayven;Mainspec GP;20928
2020-09-06 23:04:52;[Boots of the Fallen Hero];Maro;Offspec GP;21688
2020-09-06 23:05:31;[Angelista's Touch];Naiko;Offspec GP;21695
2020-09-10 20:16:59;[Belt of Transcendence];Faine;Offspec GP;16925
2020-09-10 20:17:12;[Rune of Metamorphosis];Maro;Bank-D/E;19340
2020-09-10 20:17:27;[Stormrage Belt];Arlis;Bank-D/E;16903
2020-09-10 20:21:30;[Cloak of Draconic Might];Tasêrfacê;Mainspec GP;19436
2020-09-10 20:33:38;[Head of the Broodlord Lashlayer];Maddi;Offspec GP;20383
2020-09-10 20:33:57;[Judgement Sabatons];Arlis;Bank-D/E;16957
2020-09-10 20:34:28;[Venomous Totem];Sorciyo;Offspec GP;19342
2020-09-10 20:35:33;[Sabatons of Wrath];Tasêrfacê;Offspec GP;16965
2020-09-10 20:43:40;[Scrolls of Blinding Light];Reax;Offspec GP;19343
2020-09-10 20:44:17;[Gauntlets of Wrath];Nadila;Offspec GP;16964
2020-09-10 20:45:59;[Interlaced Shadow Jerkin];Arlis;Bank-D/E;19439
2020-09-10 20:57:38;[Ringo's Blizzard Boots];Schmutzigé;Offspec GP;19438
2020-09-10 21:00:30;[Bloodfang Gloves];Sorciyo;Offspec GP;16907
2020-09-10 21:00:58;[Dragonbreath Hand Cannon];Nadila;Offspec GP;19368
2020-09-10 21:03:07;[Drake Talon Pauldrons];Pitscher;Mainspec GP;19394
2020-09-10 21:03:29;[Shroud of Pure Thought];Druidicas;Mainspec GP;19430
2020-09-10 21:10:30;[Bloodfang Spaulders];Farlor;Bank-D/E;16832
2020-09-10 21:10:44;[Judgement Spaulders];Antaresfm;Offspec GP;16953
2020-09-10 21:11:12;[Claw of Chromaggus];Druidicas;Mainspec GP;19347
2020-09-10 21:11:39;[Angelista's Grasp];Bombalgir;Offspec GP;19388
2020-09-10 21:19:57;[Breastplate of Wrath];Tamu;Offspec GP;16966
2020-09-10 21:20:09;[Judgement Breastplate];Arlis;Offspec GP;16958
2020-09-10 21:20:42;[Crul'shorukh, Edge of Chaos];Pitscher;Mainspec GP;19363
2020-09-10 21:21:03;[Boots of the Shadow Flame];Farlor;Bank-D/E;19381
2020-09-10 21:21:40;[Head of Nefarian];Mastarc;Offspec GP;19002
2020-09-10 21:39:59;[Cenarion Boots];Arlis;Bank-D/E;16829
2020-09-10 21:40:04;[Gauntlets of Might];Arlis;Bank-D/E;16863
2020-09-10 21:44:47;[Lawbringer Legplates];Arlis;Bank-D/E;16855
2020-09-10 21:45:02;[Eskhandar's Right Claw];Arlis;Bank-D/E;18203
2020-09-10 21:53:51;[Lawbringer Gauntlets];Arlis;Bank-D/E;16860
2020-09-10 22:01:05;[Giantstalker's Helmet];Arlis;Bank-D/E;16846
2020-09-10 22:22:13;[Pauldrons of Might];Arlis;Bank-D/E;16868
2020-09-13 19:44:28;[Breastplate of Annihilation];Zann;Mainspec GP;21814
2020-09-13 19:44:42;[Barrage Shoulders];Maro;Bank-D/E;21699
2020-09-13 19:57:59;[Gloves of Enforcement];Nóva;Mainspec GP;21672
2020-09-13 19:58:45;[Recomposed Boots];Crayven;Bank-D/E;21648
2020-09-13 20:04:56;[Libram of Grace];Maro;Mainspec GP;22402
2020-09-13 20:05:36;[Scaled Sand Reaver Leggings];Pitscher;Mainspec GP;21651
2020-09-13 20:15:00;[Gloves of the Messiah];Tsubaky;Mainspec GP;21619
2020-09-13 20:15:33;[Qiraji Bindings of Dominance];Mastarc;Mainspec GP;20932
2020-09-13 20:16:54;[Qiraji Bindings of Command];Taradus;Mainspec GP;20928
2020-09-13 20:33:06;[Vek'nilash's Circlet];Mastarc;Mainspec GP;20926
2020-09-13 20:33:24;[Belt of the Fallen Emperor];Reax;Offspec GP;21606
2020-09-13 20:33:59;[Vek'lor's Diadem];Chokeon;Mainspec GP;20930
2020-09-13 20:34:26;[Vek'lor's Gloves of Devastation];Trezôr;Offspec GP;21599
2020-09-13 20:35:16;[Imperial Qiraji Armaments];Gnomling;Mainspec GP;21232
2020-09-13 21:24:03;[Death's Sting];Gnomling;Mainspec GP;21126
2020-09-13 21:24:31;[Mark of C'Thun];Arlis;Mainspec GP;22732
2020-09-13 21:24:54;[Eye of C'Thun];Riese;Mainspec GP;21221
2020-09-13 21:26:03;[Husk of the Old God];Mastarc;Mainspec GP;20933
2020-09-13 21:26:31;[Carapace of the Old God];Nessy;Mainspec GP;20929
2020-09-13 21:34:44;[Don Rigoberto's Lost Hat];Highwalker;Mainspec GP;21615
2020-09-13 21:35:13;[Ouro's Intact Hide];Crayven;Mainspec GP;20927
2020-09-13 21:35:49;[Skin of the Great Sandworm];Maro;Offspec GP;20931
2020-09-13 22:13:12;[Imperial Qiraji Armaments];Nóva;Mainspec GP;21232
2020-09-13 22:13:50;[Ring of the Qiraji Fury];Crayven;Mainspec GP;21677
2020-09-13 22:14:28;[Qiraji Bindings of Dominance];Aionara;Mainspec GP;20932
2020-09-13 22:14:52;[Qiraji Bindings of Command];Nithalf;Mainspec GP;20928
2020-09-13 22:34:53;[Ooze-ridden Gauntlets];Nithalf;Offspec GP;21691
2020-09-17 20:14:07;[Nemesis Bracers];Arlis;Bank-D/E;16934
2020-09-17 20:14:30;[Mantle of the Blackwing Cabal];Maddi;Mainspec GP;19370
2020-09-17 20:14:43;[Dragonstalker's Bracers];Greater;Bank-D/E;16935
2020-09-17 20:18:00;[Stormrage Belt];Arlis;Bank-D/E;16903
2020-09-17 20:18:14;[Dragonstalker's Belt];Greater;Bank-D/E;16936
2020-09-17 20:18:25;[Rune of Metamorphosis];Maro;Bank-D/E;19340
2020-09-17 20:22:07;[Boots of Pure Thought];Bombalgir;Mainspec GP;19437
2020-09-17 20:37:18;[Bloodfang Boots];Sorciyo;Offspec GP;16906
2020-09-17 20:37:42;[Netherwind Boots];Schmutzigé;Offspec GP;16912
2020-09-17 20:38:38;[Heartstriker];Tamu;Offspec GP;19350
2020-09-17 20:46:47;[Cloak of Firemaw];Sorciyo;Mainspec GP;19398
2020-09-17 21:00:44;[Taut Dragonhide Belt];Druidicas;Bank-D/E;19396
2020-09-17 21:01:05;[Malfurion's Blessed Bulwark];Druidicas;Offspec GP;19405
2020-09-17 21:03:00;[Ring of Blackrock];Arlis;Offspec GP;19397
2020-09-17 21:04:16;[Shroud of Pure Thought];Arlis;Offspec GP;19430
2020-09-17 21:09:12;[Judgement Spaulders];Arlis;Bank-D/E;16953
2020-09-17 21:09:38;[Angelista's Grasp];Xzoe;Offspec GP;19388
2020-09-17 21:09:47;[Taut Dragonhide Gloves];Arlis;Bank-D/E;19390
2020-09-17 21:10:04;[Stormrage Pauldrons];Druidicas;Mainspec GP;16902
2020-09-17 21:16:52;[Judgement Breastplate];Arlis;Bank-D/E;16958
2020-09-17 21:17:02;[Stormrage Chestguard];Arlis;Bank-D/E;16897
2020-09-17 21:17:20;[Prestor's Talisman of Connivery];Gnomling;Mainspec GP;19377
2020-09-17 21:17:56;[Ashkandi, Greatsword of the Brotherhood];Tamu;Mainspec GP;19364
2020-09-20 19:41:06;[Staff of the Qiraji Prophets];Lomeluin;Offspec GP;21128
2020-09-20 19:41:47;[Boots of the Redeemed Prophecy];Reax;Offspec GP;21704
2020-09-20 19:53:39;[Creeping Vine Helm];Maro;Bank-D/E;21669
2020-09-20 19:54:13;[Necklace of Purity];Nadila;Offspec GP;21678
2020-09-20 19:59:33;[Scaled Sand Reaver Leggings];Maro;Bank-D/E;21651
2020-09-20 20:00:07;[Fetish of the Sand Reaver];Wysiwyg;Mainspec GP;21647
2020-09-20 20:11:25;[Ring of the Martyr];Tsubaky;Mainspec GP;21620
2020-09-20 20:11:55;[Qiraji Bindings of Dominance];Harcort;Mainspec GP;20932
2020-09-20 20:12:19;[Qiraji Bindings of Command];Chokeon;Mainspec GP;20928
2020-09-20 20:30:07;[Amulet of Vek'nilash];Wysiwyg;Mainspec GP;21608
2020-09-20 20:31:02;[Vek'nilash's Circlet];Tasêrfacê;Offspec GP;20926
2020-09-20 20:31:43;[Royal Scepter of Vek'lor];Riese;Mainspec GP;21597
2020-09-20 20:32:21;[Vek'lor's Diadem];Gnomling;Mainspec GP;20930
2020-09-20 21:22:49;[Death's Sting];Schellenmann;Mainspec GP;21126
2020-09-20 21:23:06;[Mark of C'Thun];Taradus;Mainspec GP;22732
2020-09-20 21:23:37;[Eye of C'Thun];Xzoe;Mainspec GP;21221
2020-09-20 21:24:15;[Husk of the Old God];Riese;Offspec GP;20933
2020-09-20 21:24:44;[Carapace of the Old God];Fein;Mainspec GP;20929
2020-09-20 21:35:56;[The Burrower's Shell];Wysiwyg;Offspec GP;23558
2020-09-20 21:36:33;[Skin of the Great Sandworm];Reax;Mainspec GP;20931
2020-09-20 21:36:59;[Ouro's Intact Hide];Chokeon;Mainspec GP;20927
2020-09-20 21:50:52;[Ring of the Qiraji Fury];Tamu;Mainspec GP;21677
2020-09-20 21:51:17;[Qiraji Bindings of Dominance];Maddi;Mainspec GP;20932
2020-09-20 21:51:40;[Qiraji Bindings of Command];Chokeon;Mainspec GP;20928
2020-09-20 22:21:43;[Angelista's Charm];Bombalgir;Offspec GP;21690
2020-09-20 22:22:15;[Triad Girdle];Fein;Offspec GP;21692
2020-09-24 20:23:38;[Rune of Metamorphosis];Fenoa;Bank-D/E;19340
2020-09-24 20:24:15;[Waistband of Wrath];Nadila;Offspec GP;16960
2020-09-24 20:24:19;[Dragonstalker's Belt];Arlis;Bank-D/E;16936
2020-09-24 20:38:46;[Stormrage Boots];Fenoa;Bank-D/E;16898
2020-09-24 20:39:11;[Sabatons of Wrath];Tamu;Offspec GP;16965
2020-09-24 20:39:19;[Venomous Totem];Arlis;Bank-D/E;19342
2020-09-24 20:49:10;[Shadow Wing Focus Staff];Arlis;Offspec GP;19355
2020-09-24 20:49:35;[Black Ash Robe];Riese;Offspec GP;19399
2020-09-24 21:01:29;[Draconic Avenger];Arlis;Bank-D/E;19354
2020-09-24 21:03:54;[Stormrage Handguards];Arlis;Bank-D/E;16899
2020-09-24 21:04:10;[Dragonbreath Hand Cannon];Crayven;Offspec GP;19368
2020-09-24 21:06:04;[Rejuvenating Gem];Highwalker;Mainspec GP;19395
2020-09-24 21:12:28;[Empowered Leggings];Radogan;Mainspec GP;19385
2020-09-24 21:12:47;[Pauldrons of Wrath];Nadila;Offspec GP;16961
2020-09-24 21:13:10;[Elementium Threaded Cloak];Arlis;Bank-D/E;19386
2020-09-24 21:22:25;[Netherwind Robes];Xzoe;Offspec GP;16916
2020-09-24 21:22:29;[Netherwind Robes];Mastarc;Offspec GP;16916
2020-09-24 21:23:02;[Prestor's Talisman of Connivery];Arlis;Offspec GP;19377
2020-09-24 21:23:41;[Head of Nefarian];Reax;Offspec GP;19002
2020-09-24 21:24:31;[Staff of the Shadow Flame];Schmutzigé;Mainspec GP;19356
2020-09-27 19:43:48;[Barrage Shoulders];Maro;Bank-D/E;21699
2020-09-27 19:44:11;[Boots of the Unwavering Will];Tamu;Offspec GP;21706
2020-09-27 19:57:15;[Gauntlets of Steadfast Determination];Tasêrfacê;Offspec GP;21674
2020-09-27 19:57:42;[Badge of the Swarmguard];Nadila;Mainspec GP;21670
2020-09-27 20:02:10;[Libram of Grace];Antaresfm;Mainspec GP;22402
2020-09-27 20:02:34;[Mantle of Wicked Revenge];Arlis;Offspec GP;21665
2020-09-27 20:11:36;[Cloak of the Golden Hive];Tasêrfacê;Mainspec GP;21621
2020-09-27 20:11:57;[Qiraji Bindings of Command];Nessy;Mainspec GP;20928
2020-09-27 20:13:00;[Qiraji Bindings of Dominance];Lomeluin;Mainspec GP;20932
2020-09-27 20:28:35;[Gloves of the Hidden Temple];Arlis;Mainspec GP;21605
2020-09-27 20:28:58;[Vek'nilash's Circlet];Naiko;Mainspec GP;20926
2020-09-27 20:29:42;[Qiraji Execution Bracers];Arlis;Mainspec GP;21602
2020-09-27 20:30:16;[Vek'lor's Diadem];Sorciyo;Mainspec GP;20930
2020-09-27 21:06:04;[Eyestalk Waist Cord];Harcort;Mainspec GP;22730
2020-09-27 21:06:29;[Mark of C'Thun];Naiko;Mainspec GP;22732
2020-09-27 21:07:11;[Eye of C'Thun];Lomeluin;Mainspec GP;21221
2020-09-27 21:09:07;[Husk of the Old God];Bombalgir;Offspec GP;20933
2020-09-27 21:09:42;[Carapace of the Old God];Nadila;Mainspec GP;20929
2020-09-27 21:15:16;[Imperial Qiraji Regalia];Aionara;Mainspec GP;21237
2020-09-27 21:16:08;[Burrower Bracers];Bombalgir;Offspec GP;21611
2020-09-27 21:16:43;[Skin of the Great Sandworm];Wysiwyg;Offspec GP;20931
2020-09-27 21:17:05;[Ouro's Intact Hide];Nithalf;Mainspec GP;20927
2020-09-27 21:32:59;[Sharpened Silithid Femur];Exts;Mainspec GP;21622
2020-09-27 21:33:48;[Qiraji Bindings of Dominance];Fein;Mainspec GP;20932
2020-09-27 21:34:12;[Qiraji Bindings of Command];Sorciyo;Mainspec GP;20928
2020-09-27 21:48:08;[Petrified Scarab];Naiko;Mainspec GP;21685
2020-09-27 21:48:34;[Cape of the Trinity];Schmutzigé;Mainspec GP;21697
2020-10-01 20:08:57;[Mantle of the Blackwing Cabal];Tuv;Mainspec GP;19370
2020-10-01 20:09:27;[Bindings of Transcendence];Arlis;Bank-D/E;16926
2020-10-01 20:14:15;[Dragonstalker's Belt];Arlis;Bank-D/E;16936
2020-10-01 20:14:22;[Dragonstalker's Belt];Arlis;Bank-D/E;16936
2020-10-01 20:14:41;[Helm of Endless Rage];Arlis;Bank-D/E;19372
2020-10-01 20:16:40;[Cloak of Draconic Might];Tamu;Mainspec GP;19436
2020-10-01 20:29:03;[Boots of Transcendence];Arlis;Bank-D/E;16919
2020-10-01 20:29:16;[Nemesis Boots];Arlis;Bank-D/E;16927
2020-10-01 20:30:01;[Bracers of Arcane Accuracy];Ricárda;Mainspec GP;19374
2020-10-01 20:31:58;[Head of the Broodlord Lashlayer];Druidicas;Bank-D/E;20383
2020-10-01 20:33:51;[Essence Gatherer];Tuv;Offspec GP;19435
2020-10-01 20:39:41;[Rejuvenating Gem];Bombalgir;Mainspec GP;19395
2020-10-01 20:39:59;[Scrolls of Blinding Light];Antaresfm;Offspec GP;19343
2020-10-01 20:53:23;[Nemesis Gloves];Ricárda;Mainspec GP;16928
2020-10-01 20:53:39;[Malfurion's Blessed Bulwark];Arlis;Bank-D/E;19405
2020-10-01 20:56:16;[Emberweave Leggings];Arlis;Bank-D/E;19433
2020-10-01 20:56:22;[Drake Talon Cleaver];Flitzie;Offspec GP;19353
2020-10-01 21:01:55;[Netherwind Mantle];Mastarc;Offspec GP;16917
2020-10-01 21:02:06;[Girdle of the Fallen Crusader];Arlis;Bank-D/E;19392
2020-10-01 21:02:24;[Stormrage Pauldrons];Arlis;Bank-D/E;16902
2020-10-01 21:02:38;[Taut Dragonhide Shoulderpads];Druidicas;Offspec GP;19389
2020-10-01 21:10:54;[Breastplate of Wrath];Pitscher;Offspec GP;16966
2020-10-01 21:11:30;[Mish'undare, Circlet of the Mind Flayer];Exts;Mainspec GP;19375
2020-10-01 21:11:54;[Neltharion's Tear];Harcort;Mainspec GP;19379
2020-10-01 21:12:28;[Head of Nefarian];Ricárda;Mainspec GP;19002
2020-10-04 19:50:33;[Pendant of the Qiraji Guardian];Crayven;Bank-D/E;21700
2020-10-04 19:50:50;[Pendant of the Qiraji Guardian];Crayven;Bank-D/E;21700
2020-10-04 19:51:22;[Boots of the Redeemed Prophecy];Maro;Bank-D/E;21704
2020-10-04 20:02:35;[Badge of the Swarmguard];Choult;Mainspec GP;21670
2020-10-04 20:03:20;[Thick Qirajihide Belt];Arlis;Bank-D/E;21675
2020-10-04 20:07:55;[Barb of the Sand Reaver];Rhyper;Bank-D/E;21635
2020-10-04 20:20:41;[Qiraji Bindings of Dominance];Exts;Mainspec GP;20932
2020-10-04 20:21:21;[Qiraji Bindings of Command];Nessy;Mainspec GP;20928
2020-10-04 20:41:42;[Vek'lor's Diadem];Nóva;Mainspec GP;20930
2020-10-04 20:42:29;[Vek'lor's Gloves of Devastation];Arlis;Bank-D/E;21599
2020-10-04 20:43:56;[Vek'nilash's Circlet];Harcort;Mainspec GP;20926
2020-10-04 20:46:17;[Kalimdor's Revenge];Crayven;Bank-D/E;21679
2020-10-04 20:47:05;[Imperial Qiraji Regalia];Tasêrfacê;Mainspec GP;21237
2020-10-04 21:24:43;[Carapace of the Old God];Sorciyo;Mainspec GP;20929
2020-10-04 21:25:31;[Husk of the Old God];Harcort;Bank-D/E;20933
2020-10-04 21:25:59;[Eye of C'Thun];Mastarc;Mainspec GP;21221
2020-10-04 21:26:37;[Eyestalk Waist Cord];Riese;Mainspec GP;22730
2020-10-04 21:27:09;[Grasp of the Old God];Tsubaky;Mainspec GP;21582
2020-10-04 21:35:00;[Ouro's Intact Hide];Taradus;Mainspec GP;20927
2020-10-04 21:37:19;[Skin of the Great Sandworm];Ricárda;Bank-D/E;20931
2020-10-04 21:38:12;[Jom Gabbar];Rhyme;Mainspec GP;23570
2020-10-04 21:47:27;[Qiraji Bindings of Command];Taradus;Mainspec GP;20928
2020-10-04 21:48:10;[Qiraji Bindings of Dominance];Maddi;Mainspec GP;20932
2020-10-04 21:48:41;[Idol of Health];Highwalker;Mainspec GP;22399
2020-10-04 21:49:34;[Imperial Qiraji Regalia];Harcort;Mainspec GP;21237
2020-10-04 22:03:54;[Ternary Mantle];Radogan;Mainspec GP;21694
2020-10-04 22:04:19;[Vest of Swift Execution];Arlis;Bank-D/E;21680
2020-10-04 22:05:01;[Imperial Qiraji Armaments];Tasêrfacê;Mainspec GP;21232
2020-10-08 20:29:10;[Roben der Schlachtwache];Ricárda;Mainspec GP;21671
2020-10-08 20:29:56;[Gamaschen des faulenden Schwarms];Belesh;Offspec GP;21676
2020-10-08 20:34:15;[Roben des Schutzheiligen];Radogan;Mainspec GP;21663
2020-10-08 20:34:46;[Stiefel des Schwarmbaugräbers];Druidicas;Offspec GP;21645
2020-10-08 21:01:10;[Vek'lors Diadem];Maro;Offspec GP;20930
2020-10-08 21:01:16;[Vek'lors Handschuhe der Verwüstung];Arlis;Bank-D/E;21599
2020-10-08 21:01:53;[Amulett von Vek'nilash];Lomeluin;Mainspec GP;21608
2020-10-08 21:02:42;[Vek'nilashs Reif];Ricárda;Mainspec GP;20926
2020-10-08 21:03:08;[Imperiale Qirajiwaffe];Nithalf;Mainspec GP;21232
2020-10-08 21:12:28;[Splitter des gefallenen Sterns];Bombalgir;Offspec GP;21891
2020-10-08 21:39:55;[Stulpen der Vernichtung];Nadila;Mainspec GP;21581
2020-10-08 21:41:27;[Gürtel der endlosen Pein];Sorciyo;Mainspec GP;21586
2020-10-08 21:42:30;[Auge von C'Thun];Fein;Mainspec GP;21221
2020-10-08 21:42:49;[Hülle des alten Gottes];Druidicas;Mainspec GP;20933
2020-10-08 21:43:14;[Knochenpanzer des alten Gottes];Choult;Mainspec GP;20929
2020-10-08 21:49:35;[Don Rigobertos verlorener Hut];Bombalgir;Mainspec GP;21615
2020-10-08 21:49:59;[Haut des großen Sandwurms];Choult;Offspec GP;20931
2020-10-08 21:50:21;[Ouros intakte Haut];Nessy;Mainspec GP;20927
2020-10-08 22:06:43;[Befehlsbindungen der Qiraji];Nóva;Mainspec GP;20928
2020-10-08 22:07:05;[Dominanzbindungen der Qiraji];Druidicas;Mainspec GP;20932
2020-10-08 22:07:57;[Schleimbeschichtete Gamaschen];Wysiwyg;Offspec GP;21626
2020-10-08 22:20:13;[Zauberstab des Qirajiadels];Lomeluin;Mainspec GP;21603
2020-10-08 22:21:26;[Roben des Dreigestirns];Bombalgir;Offspec GP;21696
2020-10-15 20:35:52;[Stiefel des Netherwinds];Ardbog;Bank-D/E;16912
2020-10-15 20:36:09;[Blutfangstiefel];Arlis;Bank-D/E;16906
2020-10-15 20:36:27;[Gifttotem];Arlis;Bank-D/E;19342
2020-10-15 20:36:53;[Kopf des Brutwächters Dreschbringer];Sorciyo;Bank-D/E;20383
2020-10-15 20:46:20;[Rollen des Blendenden Lichts];Arlis;Bank-D/E;19343
2020-10-15 20:46:25;[Gehärteter Drachenledergürtel];Arlis;Bank-D/E;19396
2020-10-15 21:02:07;[Handschuhe des Netherwinds];Exts;Offspec GP;16913
2020-10-15 21:02:37;[Drachenfangzahn-Talisman];Naiko;Mainspec GP;19406
2020-10-15 21:04:39;[Handschützer der Erhabenheit];Fipsoliene;Mainspec GP;16920
2020-10-15 21:05:00;[Berührung des Drachen];Ricárda;Mainspec GP;19367
2020-10-15 21:07:29;[Geflochtener Schattenwams];Morti;Offspec GP;19439
2020-10-15 21:07:40;[Drachischer Rächer];Arlis;Bank-D/E;19354
2020-10-15 21:13:16;[Schiftung der Nemesis];Ricárda;Mainspec GP;16932
2020-10-15 21:13:31;[Gehärtete Drachenlederschulterpolster];Druidicas;Offspec GP;19389
2020-10-15 21:13:46;[Schulterstücke des Zorns];Arlis;Bank-D/E;16961
2020-10-15 21:13:59;[Schimmerndes Geta];Arlis;Bank-D/E;19391
2020-10-15 21:43:14;[Roben der Erhabenheit];Arlis;Bank-D/E;16923
2020-10-15 21:43:30;[Roben des Netherwinds];Arlis;Bank-D/E;16916
2020-10-15 21:44:08;[Crul'shorukh, Schneide des Chaos];Taradus;Mainspec GP;19363
2020-10-15 21:44:32;[Neltharions Träne];Xzoe;Mainspec GP;19379
2020-10-15 21:44:55;[Kopf von Nefarian];Riese;Offspec GP;19002
2020-10-18 19:40:09;[Pendant of the Qiraji Guardian];Arlis;Bank-D/E;21700
2020-10-18 19:40:26;[Boots of the Unwavering Will];Naiko;Offspec GP;21706
2020-10-18 19:52:43;[Wand of Qiraji Nobility];Mastarc;Mainspec GP;21603
2020-10-18 19:53:03;[Guise of the Devourer];Arlis;Offspec GP;21693
2020-10-18 19:58:27;[Imperial Qiraji Regalia];Nadila;Mainspec GP;21237
2020-10-18 19:58:51;[Recomposed Boots];Nessy;Bank-D/E;21648
2020-10-18 20:02:48;[Pauldrons of the Unrelenting];Naiko;Mainspec GP;21639
2020-10-18 20:03:08;[Robes of the Guardian Saint];Reax;Mainspec GP;21663
2020-10-18 20:15:28;[Imperial Qiraji Regalia];Arlis;Offspec GP;21237
2020-10-18 20:15:53;[Scarab Brooch];Reax;Mainspec GP;21625
2020-10-18 20:16:31;[Qiraji Bindings of Dominance];Maro;Offspec GP;20932
2020-10-18 20:17:43;[Qiraji Bindings of Command];Gnomling;Mainspec GP;20928
2020-10-18 20:23:55;[Qiraji Bindings of Command];Tasêrfacê;Mainspec GP;20928
2020-10-18 20:24:13;[Qiraji Bindings of Dominance];Xzoe;Mainspec GP;20932
2020-10-18 20:24:43;[Cloak of the Golden Hive];Naiko;Mainspec GP;21621
2020-10-18 20:40:16;[Vek'nilash's Circlet];Xzoe;Mainspec GP;20926
2020-10-18 20:40:50;[Regenerating Belt of Vek'nilash];Reax;Mainspec GP;21609
2020-10-18 20:41:39;[Vek'lor's Diadem];Choult;Offspec GP;20930
2020-10-18 20:42:18;[Qiraji Execution Bracers];Naiko;Mainspec GP;21602
2020-10-18 21:10:55;[Carapace of the Old God];Sorciyo;Mainspec GP;20929
2020-10-18 21:11:18;[Husk of the Old God];Belesh;Offspec GP;20933
2020-10-18 21:12:18;[Eye of C'Thun];Rhyper;Mainspec GP;21221
2020-10-18 21:12:42;[Ring of the Godslayer];Choult;Mainspec GP;21596
2020-10-18 21:13:50;[Dark Edge of Insanity];Zann;Mainspec GP;21134
2020-10-18 21:17:48;[Larvae of the Great Worm];Morti;Mainspec GP;23557
2020-10-18 21:18:39;[Imperial Qiraji Armaments];Sorciyo;Mainspec GP;21232
2020-10-18 21:19:00;[Skin of the Great Sandworm];Druidicas;Mainspec GP;20931
2020-10-18 21:19:21;[Ouro's Intact Hide];Nóva;Mainspec GP;20927
2020-10-22 20:12:28;[Stormrage Bracers];Arlis;Bank-D/E;16904
2020-10-22 20:12:41;[Bindings of Transcendence];Arlis;Bank-D/E;16926
2020-10-22 20:31:23;[Belt of Transcendence];Fipsoliene;Mainspec GP;16925
2020-10-22 20:31:50;[Rune of Metamorphosis];Rhyme;Bank-D/E;19340
2020-10-22 20:31:58;[Judgement Belt];Arlis;Bank-D/E;16952
2020-10-22 20:47:13;[Judgement Sabatons];Arlis;Bank-D/E;16957
2020-10-22 20:47:25;[Dragonstalker's Greaves];Arlis;Bank-D/E;16941
2020-10-22 20:47:44;[Heartstriker];Buelo;Bank-D/E;19350
2020-10-22 20:58:12;[Stormrage Handguards];Arlis;Bank-D/E;16899
2020-10-22 20:58:33;[Black Ash Robe];Xzoe;Offspec GP;19399
2020-10-22 21:08:26;[Band of Dark Dominion];Ricárda;Mainspec GP;19434
2020-10-22 21:13:57;[Judgement Gauntlets];Arlis;Bank-D/E;16956
2020-10-22 21:14:22;[Band of Forced Concentration];Exts;Mainspec GP;19403
2020-10-22 21:16:11;[Drake Talon Cleaver];Reax;Offspec GP;19353
2020-10-22 21:39:42;[Bloodfang Spaulders];Arlis;Bank-D/E;16832
2020-10-22 21:39:53;[Elementium Threaded Cloak];Arlis;Bank-D/E;19386
2020-10-22 21:40:06;[Judgement Spaulders];Arlis;Bank-D/E;16953
2020-10-22 21:40:20;[Taut Dragonhide Shoulderpads];Arlis;Bank-D/E;19389
2020-10-22 21:48:57;[Robes of Transcendence];Arlis;Bank-D/E;16923
2020-10-22 21:49:11;[Dragonstalker's Breastplate];Arlis;Bank-D/E;16942
2020-10-22 21:49:45;[Archimtiros' Ring of Reckoning];Naiko;Mainspec GP;19376
2020-10-22 21:50:10;[Pure Elementium Band];Arlis;Offspec GP;19382
2020-10-25 20:50:00;[Ternary Mantle];Tsubaky;Mainspec GP;21694
2020-10-25 20:50:01;[Ring of the Devoured];Druidicas;Mainspec GP;21681
2020-10-25 20:50:02;[Sartura's Might];Lariana;Mainspec GP;21666
2020-10-25 20:50:03;[Imperial Qiraji Armaments];Schellenmann;Mainspec GP;21232
